Tahun,Quarter,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,index
2018,2,DI YOGYAKARTA,27850.8064516129,28705.645161290322,11683.870967741936,33605.645161290326,27558.870967741936,34717.74193548387,113790.32258064517,13068.548387096775,12670.161290322581,22912.09677419355,2117.8599193548384
2018,2,DKI JAKARTA,35902.41935483871,39031.45161290323,13081.451612903225,45863.709677419356,41404.83870967742,37210.48387096774,126745.96774193548,13770.967741935483,13410.483870967742,24225.8064516129,2398.4616129032256
2018,2,GORONTALO,36361.290322580644,32686.290322580644,10613.709677419354,31846.774193548386,47358.06451612903,28068.548387096773,111633.06451612903,14745.967741935483,14616.935483870968,23613.709677419356,2059.935
2018,2,JAMBI,28562.90322580645,26026.612903225807,11981.451612903225,30970.967741935485,38827.41935483871,35737.903225806454,124647.58064516129,13052.41935483871,12561.290322580646,21078.225806451614,2194.916048387097
2018,2,JAWA BARAT,29948.387096774193,29117.74193548387,11244.354838709678,36739.51612903226,35878.22580645161,36558.87096774193,122630.64516129032,13068.548387096775,12887.90322580645,23718.548387096773,2211.204193548387
2018,2,JAWA TENGAH,28262.09677419355,26638.709677419356,10971.774193548386,29797.58064516129,28613.709677419356,34915.32258064516,115046.7741935484,13219.354838709678,12512.09677419355,22776.612903225807,2084.4640322580644
2018,2,JAWA TIMUR,26320.16129032258,21647.58064516129,10975.806451612903,27325.0,23132.25806451613,33747.58064516129,110258.06451612903,12823.387096774193,12457.258064516129,21957.25806451613,2004.0595161290323
2018,2,KALIMANTAN BARAT,29006.666666666668,23135.833333333332,13129.166666666666,36016.666666666664,48795.0,30275.0,122887.5,12341.666666666666,13247.5,22709.166666666668,2201.7759166666665
2018,2,KALIMANTAN SELATAN,31612.90322580645,26255.645161290322,12463.709677419354,37961.290322580644,35877.41935483871,38316.93548387097,128304.83870967742,13708.870967741936,13236.290322580646,24522.58064516129,2327.48370967742
2018,2,KALIMANTAN TENGAH,34601.666666666664,28960.0,13590.833333333334,51491.666666666664,47388.333333333336,38715.833333333336,122875.0,14520.833333333334,14145.833333333334,26595.0,2444.8422499999997
2018,2,KALIMANTAN TIMUR,34423.3870967742,28096.774193548386,12831.451612903225,45741.12903225807,48885.48387096774,33714.51612903226,123454.03225806452,13775.0,16552.41935483871,23648.387096774193,2328.0174193548387
2018,2,KALIMANTAN UTARA,36512.096774193546,31221.774193548386,13289.516129032258,45947.58064516129,55974.1935483871,40072.58064516129,103397.58064516129,13602.41935483871,14110.483870967742,27033.064516129034,2332.6259677419357
2018,2,KEPULAUAN BANGKA BELITUNG,36022.58064516129,27107.25806451613,11854.838709677419,52154.032258064515,43127.41935483871,38520.967741935485,113576.6129032258,12990.322580645161,13050.806451612903,25947.58064516129,2300.6934677419354
2018,2,KEPULAUAN RIAU,30493.548387096773,26831.451612903227,13404.032258064517,42948.3870967742,37543.54838709677,35272.58064516129,114459.67741935483,12441.935483870968,12570.161290322581,26515.322580645163,2266.2819354838707
2018,2,LAMPUNG,27585.483870967742,25050.8064516129,11177.41935483871,31955.645161290322,34785.48387096774,35703.22580645161,112282.25806451614,12776.612903225807,12712.90322580645,22941.129032258064,2096.6901612903225
2018,2,MALUKU,39486.290322580644,35824.1935483871,12939.516129032258,51093.54838709677,46075.8064516129,42633.87096774193,109841.12903225806,16229.032258064517,15949.193548387097,32213.709677419356,2469.7768548387094
2018,2,MALUKU UTARA,48787.5,45191.666666666664,13019.166666666666,36663.333333333336,54303.333333333336,38172.41379310345,111465.5172413793,14537.5,15680.0,34921.666666666664,2436.7039339080457
2018,2,NUSA TENGGARA BARAT,25038.709677419356,26083.870967741936,9367.741935483871,29024.1935483871,31412.09677419355,40316.12903225807,108050.0,13521.774193548386,13214.516129032258,23972.58064516129,2050.9840322580644
2018,2,NUSA TENGGARA TIMUR,26715.322580645163,32865.32258064516,11659.677419354839,53581.45161290323,47320.967741935485,43991.12903225807,100004.83870967742,14552.41935483871,14884.677419354839,26667.74193548387,2295.9142741935484
2018,2,PAPUA,49093.54838709677,39168.54838709677,12183.064516129032,54695.967741935485,54663.709677419356,40245.967741935485,117486.29032258065,16989.516129032258,15145.161290322581,36302.41935483871,2542.2892741935484
2018,2,PAPUA BARAT,45305.08474576271,40377.1186440678,13224.57627118644,42965.254237288136,54067.79661016949,37093.220338983054,112500.0,16232.203389830509,16168.64406779661,30680.508474576272,2425.7617796610166
2018,2,RIAU,30509.677419354837,26225.0,12576.612903225807,37395.16129032258,39889.51612903226,28383.870967741936,113495.16129032258,12336.290322580646,13250.0,23116.935483870966,2108.4666935483874
2018,2,SEMUA PROVINSI,33096.77419354839,29429.032258064515,11754.032258064517,38381.45161290323,39803.22580645161,35449.1935483871,115533.06451612903,13870.161290322581,13691.935483870968,24637.90322580645,2211.259435483871
2018,2,SULAWESI BARAT,30691.666666666668,26584.166666666668,9860.833333333334,32901.666666666664,24436.666666666668,30730.833333333332,111703.33333333333,13959.166666666666,13581.666666666666,20322.5,1978.7800000000002
2018,2,SULAWESI SELATAN,29119.354838709678,26500.0,10056.451612903225,31872.58064516129,29942.74193548387,27629.83870967742,103608.87096774194,13839.516129032258,13371.774193548386,21736.290322580644,1907.55314516129
2018,2,SULAWESI TENGAH,30870.833333333332,29289.166666666668,10708.333333333334,32690.833333333332,44655.833333333336,29263.333333333332,109708.33333333333,15191.666666666666,13977.5,24811.666666666668,2051.1780833333332
2018,2,SULAWESI TENGGARA,36101.6129032258,34101.6129032258,10865.322580645161,40748.3870967742,37108.06451612903,32230.645161290322,103600.80645161291,14858.064516129032,14105.645161290322,23880.645161290322,2092.8084677419356
2018,2,SULAWESI UTARA,39422.41379310345,31969.827586206895,11290.51724137931,48275.862068965514,43558.620689655174,34739.65517241379,111897.41379310345,15366.379310344828,14409.48275862069,25705.172413793105,2246.9604310344826
2018,2,SUMATERA BARAT,29837.90322580645,25563.709677419356,12900.806451612903,33822.58064516129,40866.12903225807,40791.93548387097,123800.80645161291,14662.90322580645,12640.322580645161,22266.129032258064,2318.6527419354834
2018,2,SUMATERA SELATAN,33994.166666666664,28709.166666666668,11411.666666666666,39470.833333333336,42486.666666666664,34816.666666666664,120592.5,12650.833333333334,12870.0,21814.166666666668,2199.3070000000002
