Tahun,Bulan,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,Bulan_y,index
2019,2,MALUKU,41778.94736842105,29131.57894736842,12950.0,47868.42105263158,40750.0,42000.0,111250.0,14810.526315789473,15557.894736842105,31526.315789473683,1,-1.3663317420226235
2019,2,MALUKU UTARA,45000.0,34276.31578947369,13150.0,31221.052631578947,49539.47368421053,39000.0,120000.0,13900.0,15100.0,33900.0,1,0.17849976630144226
2019,2,NUSA TENGGARA BARAT,23194.736842105263,21760.526315789473,10600.0,18515.78947368421,16676.315789473683,36968.42105263158,111618.42105263157,12950.0,13181.578947368422,23981.57894736842,1,-5.717301718910477
2019,2,NUSA TENGGARA TIMUR,29350.0,28897.36842105263,11642.105263157895,32052.63157894737,42255.26315789474,41123.68421052631,102850.0,13868.421052631578,14939.473684210527,27147.36842105263,1,-5.3100828245678855
2019,2,PAPUA,48647.36842105263,35602.63157894737,12734.21052631579,35110.52631578947,42102.63157894737,40947.36842105263,116526.31578947368,16376.315789473685,14950.0,35600.0,1,-2.034277890047605
2019,2,PAPUA BARAT,43289.47368421053,35000.0,12515.78947368421,45115.78947368421,44157.89473684211,36073.68421052631,113947.36842105263,14221.052631578947,15444.736842105263,28202.63157894737,1,-0.9836143148226171
2019,2,RIAU,23800.0,21247.36842105263,12581.578947368422,25910.526315789473,27786.842105263157,25600.0,111163.15789473684,11473.684210526315,12260.526315789473,21515.78947368421,1,-2.5288151929714218
2019,2,SEMUA PROVINSI,29021.052631578947,25268.42105263158,11931.578947368422,27202.63157894737,31626.315789473683,33289.47368421053,116323.68421052632,13073.684210526315,13226.315789473685,24526.315789473683,1,-3.0734513069205036
2019,2,SULAWESI BARAT,27155.263157894737,20686.842105263157,10405.263157894737,19055.263157894737,16826.315789473683,25371.052631578947,111250.0,13589.473684210527,13105.263157894737,21265.78947368421,1,-1.9029472470248976
2019,2,SULAWESI SELATAN,26639.473684210527,22018.42105263158,10163.157894736842,16931.57894736842,16744.736842105263,22889.473684210527,108210.52631578948,12965.78947368421,12600.0,21747.36842105263,1,-2.7816667431217894
2019,2,SULAWESI TENGAH,26500.0,23947.36842105263,10750.0,22131.57894736842,32465.78947368421,27778.947368421053,110000.0,14181.578947368422,13702.631578947368,26892.105263157893,1,-5.277902812158402
2019,2,SULAWESI TENGGARA,33892.10526315789,29013.157894736843,10650.0,27455.263157894737,28963.157894736843,29271.052631578947,109013.15789473684,14271.052631578947,14100.0,24534.21052631579,1,-2.8502625089597586
2019,2,SULAWESI UTARA,33289.47368421053,24026.315789473683,11263.157894736842,20618.42105263158,33297.36842105263,35715.78947368421,110744.73684210527,12168.421052631578,14405.263157894737,23478.947368421053,1,-5.099620345995618
2019,2,SUMATERA BARAT,23268.42105263158,20602.63157894737,13986.842105263158,23047.36842105263,41126.31578947369,38473.68421052631,123150.0,13860.526315789473,11755.263157894737,22102.63157894737,1,-1.0204795840570853
2019,2,SUMATERA SELATAN,27792.105263157893,25428.947368421053,11713.157894736842,27150.0,37789.47368421053,27826.315789473683,120305.26315789473,12081.578947368422,12186.842105263158,21155.263157894737,1,-3.0739744100705337
2019,2,SUMATERA UTARA,27423.684210526317,22200.0,11081.578947368422,17047.36842105263,30534.21052631579,30323.684210526317,118802.63157894737,12747.368421052632,12289.473684210527,19855.263157894737,1,-2.1336297588319297
2019,3,ACEH,34612.5,24110.0,10165.0,20927.5,30577.5,25182.5,131367.5,14062.5,13505.0,21337.5,2,-0.2729976803268528
2019,3,BALI,29180.555555555555,26238.88888888889,11469.444444444445,17477.777777777777,19897.222222222223,36383.333333333336,108786.11111111111,13113.888888888889,13350.0,21022.222222222223,2,0.4162814091867233
2019,3,BANTEN,35140.0,27582.5,11905.0,25942.5,26535.0,34485.0,116650.0,12860.0,11662.5,23147.5,2,1.4632380182546996
2019,3,BENGKULU,30235.0,26977.5,12200.0,23232.5,29165.0,29650.0,121000.0,12727.5,12427.5,21195.0,2,1.873275321610052
2019,3,DI YOGYAKARTA,32287.5,41637.5,11600.0,20335.0,21982.5,31737.5,113750.0,12367.5,11900.0,22415.0,2,1.138716719748544
2019,3,DKI JAKARTA,41185.0,48825.0,12732.5,30755.0,28777.5,34222.5,123750.0,13450.0,12850.0,22910.0,2,1.9093542926951415
2019,3,GORONTALO,37112.5,33722.5,10750.0,24085.0,50517.5,29217.5,111900.0,13097.5,14422.5,23635.0,2,2.018366062260668
2019,3,JAMBI,31812.5,26580.0,12125.0,22162.5,29587.5,29920.0,121250.0,12985.0,11800.0,19747.5,2,1.7915798074960207
2019,3,JAWA BARAT,33932.5,32005.0,11377.5,25295.0,25175.0,32637.5,122300.0,12727.5,12232.5,22397.5,2,1.9618454134498364
2019,3,JAWA TENGAH,29995.0,38577.5,10947.5,18145.0,21082.5,31467.5,113200.0,12720.0,11802.5,21822.5,2,1.7280286409225454
2019,3,JAWA TIMUR,27955.0,26922.5,10857.5,16237.5,15695.0,30007.5,110882.5,12065.0,11987.5,21062.5,2,0.8518421184362097
2019,3,KALIMANTAN BARAT,29542.5,25207.5,13145.0,42627.5,52242.5,29240.0,123150.0,11735.0,12620.0,25910.0,2,-1.1704629176206964
2019,3,KALIMANTAN SELATAN,29925.0,26710.0,12345.0,27575.0,27467.5,35242.5,128180.0,13235.0,12445.0,24075.0,2,1.230758910152872
