Tahun,Bulan,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,Bulan_y,index
2016,8,SULAWESI BARAT,43693.181818181816,33625.0,9368.181818181818,28725.0,25640.909090909092,34250.0,113750.0,17134.090909090908,13829.545454545454,18309.090909090908,7.0,-0.34070252703671144
2016,8,SULAWESI SELATAN,37440.90909090909,32809.09090909091,9775.0,25361.363636363636,27784.090909090908,24390.909090909092,101918.18181818182,16811.363636363636,13265.90909090909,18306.81818181818,7.0,-3.633008687847166
2016,8,SULAWESI TENGGARA,48022.72727272727,44715.90909090909,10250.0,29954.545454545456,46795.454545454544,28050.0,112045.45454545454,17225.0,12765.90909090909,21279.545454545456,7.0,1.6182185790341919
2016,8,SULAWESI UTARA,49738.63636363636,43295.454545454544,11804.545454545454,34375.0,26243.18181818182,29943.18181818182,95090.90909090909,17706.81818181818,13459.09090909091,23436.363636363636,7.0,-0.5427810950236847
2016,8,SUMATERA BARAT,30404.545454545456,32863.63636363636,12790.90909090909,35931.818181818184,46690.90909090909,41988.63636363636,125454.54545454546,16202.272727272728,12777.272727272728,21781.81818181818,7.0,-0.18124153634960294
2016,8,SUMATERA SELATAN,47420.454545454544,39000.0,10952.272727272728,44361.36363636364,51504.545454545456,29863.636363636364,128750.0,15454.545454545454,12850.0,19297.727272727272,7.0,-3.4930995428607474
2016,8,SUMATERA UTARA,31695.454545454544,31872.727272727272,10181.818181818182,31045.454545454544,38409.09090909091,30909.090909090908,107575.0,16286.363636363636,12963.636363636364,16315.90909090909,7.0,0.4603446993967566
2016,9,ACEH,35621.42857142857,23492.85714285714,9904.761904761905,54338.09523809524,46247.619047619046,26750.0,127552.38095238095,15790.47619047619,13988.095238095239,23407.14285714286,8.0,2.6349689099563136
2016,9,BALI,35367.5,32325.0,10650.0,28655.0,26410.0,33110.0,102977.5,15712.5,13792.5,19107.5,8.0,-0.30926765602265505
2016,9,BANTEN,38828.57142857143,36283.333333333336,10930.952380952382,40471.42857142857,31776.190476190477,32669.04761904762,116016.66666666667,15464.285714285714,12442.857142857143,21311.904761904763,8.0,2.5798968198777743
2016,9,BENGKULU,40166.666666666664,35952.380952380954,10383.333333333334,46464.28571428572,41071.42857142857,32559.52380952381,126309.52380952382,15790.47619047619,13150.0,20619.04761904762,8.0,-0.7420683180328354
2016,9,DI YOGYAKARTA,37023.80952380953,33130.95238095238,10650.0,35078.57142857143,21411.904761904763,30404.761904761905,114400.0,15235.714285714286,12704.761904761905,18278.571428571428,8.0,0.24960098604884706
2016,9,DKI JAKARTA,40583.333333333336,40202.380952380954,10828.57142857143,46083.333333333336,36364.28571428572,30769.04761904762,123750.0,16090.47619047619,13650.0,20419.04761904762,8.0,1.8044127129662968
2016,9,GORONTALO,49785.71428571428,39119.04761904762,10202.380952380952,36333.333333333336,20595.238095238095,49047.619047619046,110000.0,17335.714285714286,14492.857142857143,21047.619047619046,8.0,-0.9901259975461016
2016,9,JAMBI,30666.666666666668,33947.619047619046,11500.0,39578.57142857143,32745.238095238095,28914.285714285714,125059.52380952382,15676.190476190477,12873.809523809523,19019.04761904762,8.0,-2.1651167617016114
2016,9,JAWA BARAT,37161.90476190476,35259.52380952381,10330.952380952382,40773.80952380953,33609.52380952381,32790.47619047619,123580.95238095238,16100.0,13309.52380952381,19842.85714285714,8.0,0.9788738495610403
2016,9,JAWA TENGAH,36864.28571428572,34207.142857142855,10000.0,33921.42857142857,25650.0,31150.0,114057.14285714286,15257.142857142857,12809.52380952381,18740.47619047619,8.0,0.13933408139870096
2016,9,JAWA TIMUR,36616.666666666664,32080.95238095238,10007.142857142857,29204.761904761905,18771.428571428572,28788.095238095237,111416.66666666667,14719.047619047618,13161.904761904761,17911.904761904763,8.0,0.47134842097200647
2016,9,KALIMANTAN BARAT,43026.31578947369,36381.57894736842,13552.631578947368,45378.94736842105,37994.73684210526,27197.36842105263,127568.42105263157,15565.78947368421,13718.421052631578,23523.684210526317,8.0,0.05221682088058799
2016,9,KALIMANTAN SELATAN,46697.619047619046,34938.09523809524,13561.904761904761,36769.04761904762,40064.28571428572,33254.76190476191,126978.57142857143,16169.047619047618,13526.190476190477,21383.333333333332,8.0,-2.9361744833819614
2016,9,KALIMANTAN TENGAH,47428.57142857143,37273.80952380953,14171.42857142857,61109.52380952381,44207.142857142855,32464.285714285714,125000.0,16473.809523809523,14526.190476190477,23276.190476190477,8.0,-1.8931720253830662
